,Team,Sh,SoT,Dist,FK,PK,PKatt,GF,GA,xG,xGA,Poss,KP,1/3,PPA,CrsPA,Prog,Att 3rd,Att Pen,SCA,TB,Season,Points,Points per match,PrgP,PrgC
1,Arsenal,15.5,5.105263157894737,15.984210526315788,0.42105263157894735,0.07894736842105263,0.10526315789473684,2.3157894736842106,1.131578947368421,1.8789473684210525,1.1105263157894736,59.31578947368421,11.657894736842104,43.078947368421055,12.078947368421053,1.631578947368421,0.0,210.92105263157896,34.10526315789474,27.5,2.263157894736842,2022,84,2.210526315789474,53.921052631578945,21.68421052631579
2,Manchester United,15.526315789473685,5.421052631578948,17.663157894736845,0.5263157894736842,0.07894736842105263,0.07894736842105263,1.5263157894736843,1.131578947368421,1.7763157894736843,1.3236842105263154,53.71052631578947,12.578947368421053,33.36842105263158,10.473684210526315,1.5,0.0,172.8684210526316,27.263157894736842,27.657894736842106,2.763157894736842,2022,75,1.9736842105263157,41.973684210526315,18.710526315789473
3,Newcastle United,14.868421052631579,4.842105263157895,15.676315789473682,0.39473684210526316,0.15789473684210525,0.15789473684210525,1.7894736842105263,0.868421052631579,1.8947368421052628,1.0473684210526315,52.26315789473684,11.447368421052632,28.5,10.605263157894736,1.6842105263157894,0.0,171.47368421052633,30.55263157894737,26.526315789473685,2.3157894736842106,2022,71,1.868421052631579,42.578947368421055,18.289473684210527
4,Liverpool,15.81578947368421,5.342105263157895,16.276315789473685,0.18421052631578946,0.05263157894736842,0.10526315789473684,1.9736842105263157,1.236842105263158,1.8789473684210527,1.3368421052631578,60.81578947368421,12.052631578947368,42.5,11.894736842105264,2.236842105263158,0.0,188.1315789473684,32.94736842105263,27.526315789473685,2.710526315789474,2022,67,1.763157894736842,52.421052631578945,18.92105263157895
5,Brighton and Hove Albion,15.973684210526315,5.7631578947368425,16.689473684210526,0.3157894736842105,0.15789473684210525,0.15789473684210525,1.894736842105263,1.394736842105263,1.928947368421053,1.313157894736842,60.23684210526316,12.631578947368421,38.39473684210526,10.289473684210526,2.0526315789473686,0.0,180.8684210526316,29.0,28.289473684210527,2.1315789473684212,2022,62,1.631578947368421,48.6578947368421,21.289473684210527
6,Aston Villa,11.236842105263158,3.8157894736842106,18.257894736842108,0.47368421052631576,0.07894736842105263,0.10526315789473684,1.3421052631578947,1.2105263157894737,1.3210526315789473,1.3815789473684212,49.26315789473684,8.368421052631579,25.36842105263158,7.052631578947368,2.1052631578947367,0.0,123.8157894736842,19.63157894736842,19.763157894736842,1.4210526315789473,2022,61,1.605263157894737,32.68421052631579,16.763157894736842
7,Tottenham Hotspur,13.473684210526315,4.894736842105263,16.650000000000002,0.3684210526315789,0.13157894736842105,0.15789473684210525,1.8421052631578947,1.6578947368421053,1.5052631578947369,1.3000000000000003,50.026315789473685,10.157894736842104,28.18421052631579,8.5,2.736842105263158,0.0,135.1315789473684,22.157894736842106,23.94736842105263,1.9473684210526316,2022,60,1.5789473684210527,38.13157894736842,18.210526315789473
8,Brentford,10.526315789473685,3.8684210526315788,15.944736842105263,0.3684210526315789,0.18421052631578946,0.21052631578947367,1.5263157894736843,1.2105263157894737,1.486842105263158,1.2921052631578949,43.8421052631579,7.473684210526316,24.263157894736842,7.342105263157895,2.289473684210526,0.0,127.23684210526316,21.763157894736842,18.473684210526315,1.394736842105263,2022,59,1.5526315789473684,29.763157894736842,10.31578947368421
9,Fulham,11.052631578947368,3.6052631578947367,17.652631578947368,0.4473684210526316,0.13157894736842105,0.23684210526315788,1.4473684210526316,1.394736842105263,1.2184210526315788,1.6736842105263154,48.76315789473684,8.052631578947368,27.473684210526315,7.473684210526316,2.5526315789473686,0.0,142.52631578947367,19.94736842105263,19.763157894736842,0.5263157894736842,2022,52,1.368421052631579,34.89473684210526,17.44736842105263
10,Crystal Palace,11.131578947368421,3.5,17.426315789473684,0.6052631578947368,0.02631578947368421,0.07894736842105263,1.0526315789473684,1.2894736842105263,1.0342105263157895,1.2684210526315791,46.3421052631579,8.31578947368421,26.657894736842106,6.2894736842105265,1.3421052631578947,0.0,131.3421052631579,20.157894736842106,19.63157894736842,1.0789473684210527,2022,45,1.1842105263157894,32.71052631578947,14.631578947368421
